Name,FeatureId,Kind,Part,Vertex,X,Y,Z
"osm_way_27482803_0_10","osm:way/27482803","building",0,10,25752.105415240923,-3468.9631628989373,-0.528512653542279
"osm_way_27482807_0_0","osm:way/27482807","building",0,0,48123.49440514548,10467.042815075582,-1.8986772502046279
"osm_way_27482807_0_1","osm:way/27482807","building",0,1,46826.00532158079,10580.453337434785,-1.8041273965025084
"osm_way_27482807_0_2","osm:way/27482807","building",0,2,46904.82632929559,11474.785357529885,-1.8254034537399377
"osm_way_27482807_0_3","osm:way/27482807","building",0,3,47013.71318795901,12706.852642946618,-1.856810204920123
"osm_way_27482807_0_4","osm:way/27482807","building",0,4,47124.22573887864,13958.917380945893,-1.891178431006324
"osm_way_27482807_0_5","osm:way/27482807","building",0,5,47261.554521506434,15516.499197460082,-1.9373858392413013
"osm_way_27482807_0_6","osm:way/27482807","building",0,6,47897.31249490925,15459.794751340416,-1.983357591642232
"osm_way_27482807_0_7","osm:way/27482807","building",0,7,48544.43759293635,15400.866940521615,-2.0307769787578422
"osm_way_27482807_0_8","osm:way/27482807","building",0,8,48623.259592587885,16269.646196130043,-2.058384176099537
"osm_way_27482807_0_9","osm:way/27482807","building",0,9,49544.0137362373,16192.922128234153,-2.1271738703703136
"osm_way_27482807_0_10","osm:way/27482807","building",0,10,49360.36475399382,14176.510181818747,-2.064855900957241
"osm_way_27482807_0_11","osm:way/27482807","building",0,11,48457.47665245631,14257.676640680225,-1.9975422808386156
"osm_way_27482807_0_12","osm:way/27482807","building",0,12,48123.49440514548,10467.042815075582,-1.8986772502046279
"osm_way_27482808_0_0","osm:way/27482808","building",0,0,38088.11589412936,16343.643624816525,-1.3452750946782999
"osm_way_27482808_0_1","osm:way/27482808","building",0,1,38205.11037116357,17633.482633482337,-1.3866855536107892
"osm_way_27482808_0_2","osm:way/27482808","building",0,2,41439.125659302845,17343.32762991251,-1.5803129124236648
"osm_way_27482808_0_3","osm:way/27482808","building",0,3,41396.06190217516,16852.27793456162,-1.5643312192580083
